"No.","Description","Part Number","Alternate P/N","Category","Group","Minimum Qty","Unit","Last Update"
"42","AIR FILTER ELEMENT","D9-18-1","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"43","AIR SCOOP RADIO COOLING","1470219-1","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"44","AIRCRAFT ENGINE","O-320-D2J","N/A","SPARE PART","ROTABLE PART","0.00","EA","December 20, 2016"
"45","AIRSPEED IND","336-00004","N/A","SPARE PART","REPAIRABLE PART","0.00","EA","December 20, 2016"
"46","AIRSPEED IND","C661065-0107","N/A","SPARE PART","REPAIRABLE PART","0.00","EA","December 20, 2016"
"47","AIRSPEED IND","C661065-0107RX","N/A","SPARE PART","REPAIRABLE PART","0.00","EA","December 20, 2016"
"48","AIRSPEED IND","S-1470-49","N/A","SPARE PART","REPAIRABLE PART","0.00","EA","December 20, 2016"
"49","AIRSPEED INDICATOR","548-498","N/A","SPARE PART","REPAIRABLE PART","0.00","EA","December 20, 2016"
"50","ALIGNMENT WASHER","MS-AW","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"51","ALLUMUNIUM FLARED TUBE PLUG","AN806-2D","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"52","ALLUMUNIUM FLARED TUBE PLUG","AN806-4D","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"53","ALODINE","MIL-DTL-81706B(594693)","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"54","ALTERNATOR","9910591-11ACR","N/A","SPARE PART","REPAIRABLE PART","0.00","EA","December 20, 2016"
"55","ALTERNATOR","9910591-11RX","N/A","SPARE PART","REPAIRABLE PART","0.00","EA","December 20, 2016"
"56","ALTERNATOR","9910591-7","N/A","SPARE PART","REPAIRABLE PART","0.00","EA","December 20, 2016"
"57","ALTERNATOR","ALX-8521LS","N/A","SPARE PART","REPAIRABLE PART","0.00","EA","December 20, 2016"
"58","ALTERNATOR","ALX-8521R","N/A","SPARE PART","REPAIRABLE PART","0.00","EA","December 20, 2016"
"59","ALTERNATOR","ASG10001-17RX","N/A","SPARE PART","REPAIRABLE PART","0.00","EA","December 20, 2016"
"60","ALTERNATOR","DOFF10300BR","N/A","SPARE PART","REPAIRABLE PART","0.00","EA","December 20, 2016"
"61","ALTERNATOR CONTROL UNIT","AC2101","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"62","ALTIMETER","5934PAM-1","N/A","SPARE PART","REPAIRABLE PART","0.00","EA","December 20, 2016"
"63","ALTIMETER","5934PM-3","N/A","SPARE PART","REPAIRABLE PART","0.00","EA","December 20, 2016"
"64","ALTIMETER","C661071-0101","N/A","SPARE PART","REPAIRABLE PART","0.00","EA","December 20, 2016"
"65","ALTIMETER","LA-71-11","N/A","SPARE PART","REPAIRABLE PART","0.00","EA","December 20, 2016"
"66","AMPERES GAGE","2867768","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"67","AMPLY DYNAMIC MIC","12948G-01","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"68","ANCHOR","S1741-3","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"69","ANGLE","0713070-37","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"70","ANGLE 1/2 X 1/2","10133-0401","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"71","ANTENA","071-00221-0010","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"72","ANTENA ADF KR86","066-1038-00","N/A","SPARE PART","REPAIRABLE PART","0.00","EA","December 20, 2016"
"73","ANTENA COUFLER","CU-110","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"74","ANTENA SENSE ADF","AV-545","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"75","ANTENA VHF COM","CI-177","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"76","ANTENA VOR/LOC/GS","C598504-0101","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"77","ANTENNA","C157","N/A","SPARE PART","REPAIRABLE PART","0.00","EA","December 20, 2016"
"78","ANTENNA COM WHIP","C1-121","N/A","SPARE PART","REPAIRABLE PART","0.00","EA","December 20, 2016"
"79","ANTENNA L-BAND","CI 105","N/A","SPARE PART","REPAIRABLE PART","0.00","EA","December 20, 2016"
"80","ANTENNA LOOP ADF","41000-1000","N/A","SPARE PART","REPAIRABLE PART","0.00","EA","December 20, 2016"
"81","ANTENNA MARKER BEACON","AV-64","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"82","ANTI SIZE","15-04985","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"83","ARM AY DOOR","0711021-11","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"84","ARM LOCK","0717024-25","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"85","ARM REST","K2415003-1","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"86","ARM REST","K2415003-2","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"87","ARMREST","K2415009-3","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"88","ARMREST","K2415009-4","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"89","ASI","EA-5174-14-CES","N/A","SPARE PART","REPAIRABLE PART","0.00","EA","December 20, 2016"
"90","ASPEN EFD1000 PRO INSTAL KIT","ASP_EFD_PRO_001","N/A","SPARE PART","ROTABLE PART","0.00","KITS","December 20, 2016"
"91","ASPEN EFD1000 VFR INSTALL KITS","ASP_EFD_VFR_001","N/A","SPARE PART","ROTABLE PART","0.00","KITS","December 20, 2016"
"92","ATC TRANSPONDER KT73","066-01164-0101","N/A","SPARE PART","REPAIRABLE PART","0.00","EA","December 20, 2016"
"93","ATS 90 DEGREE ANGEL DRILL","12-01422","N/A","TOOLS","TOOLS","0.00","EA","December 20, 2016"
"94","ATTITUDE DIGITALIZER","A-30","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"95","ATTITUDE ENCODER","ACK A-30","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"96","ATTITUDE MANAGEMENTS","8900","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"97","AUDIO CONROL PANEL","066-1055-03","N/A","SPARE PART","REPAIRABLE PART","0.00","EA","December 20, 2016"
"98","AUDIO CONTROL PANEL","2470015-1 REV.A","N/A","SPARE PART","REPAIRABLE PART","0.00","EA","December 20, 2016"
"99","AUDIO PANEL","2470015-1 REV1","N/A","SPARE PART","REPAIRABLE PART","0.00","EA","December 20, 2016"
"100","AUDIO PANEL","5704341","N/A","SPARE PART","REPAIRABLE PART","0.00","EA","December 20, 2016"
"101","AUDIO PANEL KMA-26","066-01155-0201","N/A","SPARE PART","REPAIRABLE PART","0.00","EA","December 20, 2016"
"102","AUTOMATIC PRESURE ALTITUDE","C749001-0101","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"103","AVIONIC COOLING KIT","071-4037-00","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"104","AXLE LANDING GEAR","543003","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"105","AXLE MAIN LANDING GEAR","0541199-1","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"106","BAFFLE","86939-002","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"107","BAFFLE ASSY","86203-007","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"108","BAFFLE ASSY","86203-008","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"109","BAFFLE ASSY","86827-006","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"110","BAFFLE ASSY","86827-018","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"111","BAFFLE ASSY","86847-002","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"112","BAFFLE ASSY","86873-002","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"113","BAFFLE SEAL","JM106A","N/A","SPARE PART","CONSUMABLE PART","0.00","FT","December 20, 2016"
"114","BAFFLE SEAL","VISR3640","N/A","SPARE PART","CONSUMABLE PART","0.00","FT","December 20, 2016"
"115","BAFFLE SILICONE","05-00811","05-00811","SPARE PART","CONSUMABLE PART","0.00","FEET","December 20, 2016"
"116","BAGGAGE","K0515015-1","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"117","BATTERAY 12 V","G 35","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"118","BATTERY","CR123A","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"119","BATTERY","G243","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"120","BATTERY","G243 D","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"121","BATTERY","G243D","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"122","BATTERY CONTACTOR","S1580-1","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"123","BATTERY ELT 406","452-6499","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"124","BATTERY RELLAY","S2475-2","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"125","BEARING","08125-20629","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"126","BEARING","13889-20629","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"127","BEARING","13889-2069","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"128","BEARING","214-00400","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"129","BEARING","214-01400","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"130","BEARING","214-03300","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"131","BEARING","8125","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"132","BEARING","LM-19749","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"133","BEARING","LM29749-20629","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"134","BEARING","LM67048-20629","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"135","BEARING","S1003-29A","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"136","BEARING","S1674-1","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"137","BEARING","S1675-1","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"138","BEARING AIR BOX","05-04443","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"139","BEARING ROD END","432-606","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"140","BELLCRANK","0411563","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","UNKNOWN"
"141","BELLCRANK","411563","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"142","BELT","378KY","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"143","BELT ALTERNATOR","3719773-382","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"144","BELT ALTERNATOR","378K4","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"145","BELT ALTERNATOR","37A19773-376","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"146","BELT ALTERNATOR","S1597-1-37.5","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"147","BELT TENSION","OTC6673","N/A","TOOLS","TOOLS","0.00","EA","December 20, 2016"
"148","BLANK CARD","10024995","N/A","SPARE PART","REPAIRABLE PART","0.00","EA","December 20, 2016"
"149","BLEEDER CAP","183-00100","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"150","BLEEDER SCREW","079-00300","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"151","BLEEDER SEAT","081-00100","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"152","BLLCRANK AY","0514030-4","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"153","BNC FEMALE","31-208RFX","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"154","BNC MALE","225395-1","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"155","BOARD AY TERMINAL","0570315-1","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"156","BOLT","069-00400","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"157","BOLT","069-30644","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"158","BOLT","0750220-1","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"159","BOLT","103-11600","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"160","BOLT","103-11700","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"161","BOLT","103-14300","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"162","BOLT","691-334","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"163","BOLT","A-2513-38","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"164","BOLT","AN175-22A","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"165","BOLT","AN23-10","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"166","BOLT","AN23-11","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"167","BOLT","AN23-12","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"168","BOLT","AN23-21A","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"169","BOLT","AN3-10","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"170","BOLT","AN3-10A","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"171","BOLT","AN3-11A","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"172","BOLT","AN3-40A","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"173","BOLT","AN3-4A","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"174","BOLT","AN3-5A","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"175","BOLT","AN3-H7A","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"176","BOLT","AN4-21A","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"177","BOLT","AN4-22A","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"178","BOLT","AN4-31","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"179","BOLT","AN4-36A","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"180","BOLT","AN4-7A","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"181","BOLT","AN4C5","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"182","BOLT","AN4H13A","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"183","BOLT","AN4H21A","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"184","BOLT","AN5-10A","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"185","BOLT","AN5-25A","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"186","BOLT","AN5-31A","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"187","BOLT","AN5-35A","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"188","BOLT","AN5-47","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"189","BOLT","AN5-47A","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"190","BOLT","AN6-23A","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"191","BOLT","AN6-27","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"192","BOLT","AN7-24A","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"193","BOLT","AN7-40A","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"194","BOLT","AN7-43A","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"195","BOLT","AN7-44A","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"196","BOLT","AN7-45A","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"197","BOLT","AN7-46A","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"198","BOLT","AN7-47","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"199","BOLT","AN8-21A","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"200","BOLT","AN8-23A","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"201","BOLT","AN8-25A","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"202","BOLT","LW-31H088","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"203","BOLT","LW-38-275","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"204","BOLT","MS20004-9","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"205","BOLT","NAS464-3-22","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"206","BOLT","NAS464P7LA44","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"207","BOLT","NAS6604D17","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"208","BOLT","NAS6605D46","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"209","BOLT","S2323-5","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"210","BOLT MPI","S3461-108","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"211","BOOK INSTRUMENT/COMMERCIAL","10001784-005","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"212","BOOK PRIVATE PILOT","10001360-005","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"213","BOSS AIR BOX","1726048-2","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"214","BOSS AIR BOX","MC0750113-1","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"215","BOTTLE ASSY","86546-006","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"216","BRACKET","32300-1","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"217","BRACKET","76908","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"218","BRACKET","S2300-12","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"219","BRACKET AIR BOX","07A21443","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"220","BRACKET ASSY","0541212-2","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"221","BRAKE  ASSY","30-75A","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"222","BRAKE DISC","164-21600","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"223","BRAKE DISC","164-30195","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"224","BRAKE DISC","30-65","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"225","BRAKE DISC","30-83A","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"226","BRAKE DISC [R]","164-02300","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"227","BRAKE LINNING","066-030026","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"228","BRAKE LINNING","066-06200","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"229","BRAKE LINNING","066-10500","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"230","BRAKE LINNING","066-30026","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"231","BRAKE LINNING","073-30026","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"232","BRAKE MASTER CYLINDER","9882010-7","N/A","SPARE PART","REPAIRABLE PART","0.00","EA","December 20, 2016"
"233","BREAKER","CM3589-40","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"234","BREARING SEAL","154-13000","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"235","BULB","356","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"236","BULB/PROBE OIL TEMP","3080-00037","3080-37","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"237","BULK HEAD ASSY","0550321-12","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"238","BULK HEAD ASSY","0550321-4","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"239","BUSHING","523919","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"240","BUSHING","757-633","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"241","BUSHING","NAS77-3-023","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"242","BUSHING","NAS77-6-008","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"243","BUSHING ASSY MAIN GEAR","0541202-4","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"244","C-SPEC CONVERSION KIT CESSNA","MSC172PQ-40P","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"245","CABIN DOOR HINGE PIN","0711001-59","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"246","CABLE","11-05650 FT","N/A","SPARE PART","CONSUMABLE PART","0.00","FEET","December 20, 2016"
"247","CABLE","11-05651 FT","N/A","SPARE PART","CONSUMABLE PART","0.00","FEET","December 20, 2016"
